Disease Name,Remedy Name,Ingredients,Preparation Method,Side Effects,Suitable Age Group,Allergies,Dietary Preferences,Disease Name
Common Cold,Tulsi Ginger Tea,"Tulsi leaves, Ginger, Black pepper, Honey",Boil tulsi leaves and ginger in water for 10 minutes. Add black pepper and honey.,May cause mild acidity if taken on empty stomach,5+ years,None,Vegetarian,Common Cold
Common Cold,Honey Lemon Drink,"Honey, Lemon, Warm water",Mix honey and lemon juice in warm water and drink twice daily.,Not suitable for diabetics,1+ years,Honey allergy,Vegetarain,Influenza (Flu)
Common Cold,Steam Inhalation with Eucalyptus,"Eucalyptus oil, Hot water",Add eucalyptus oil to hot water and inhale the steam for 10 minutes.,May cause mild eye irritation,10+ years,Eucalyptus sensitivity,Vegan,Pneumonia
Common Cold,Turmeric Milk,"Turmeric, Milk, Black pepper",Boil milk with turmeric and a pinch of black pepper. Drink warm.,Can cause bloating in lactose intolerant individuals,5+ years,Lactose intolerance,Vegetarian,Gastroenteritis
Common Cold,Clove and Honey Mix,"Cloves, Honey",Crush cloves and mix with honey. Consume twice a day.,Not recommended for small children,12+ years,"Honey, clove allergy",Vegetarian,Irritable Bowel Syndrome (IBS)
Influenza (Flu),Giloy Kadha,"Giloy stem, Tulsi, Black pepper",Boil all ingredients in water to make a decoction. Drink once daily.,Can cause constipation,10+ years,None,Vegan,Diabetes Mellitus
Influenza (Flu),Cinnamon Tea,"Cinnamon stick, Honey, Water",Boil cinnamon in water. Add honey before drinking.,Avoid in case of bleeding disorders,1+ years,Cinnamon allergy,Vegetarian,UTI
Influenza (Flu),Turmeric and Ginger Decoction,"Turmeric, Ginger, Water",Boil turmeric and ginger in water. Drink warm twice a day.,Mild heartburn in some cases,6+ years,None,Vegan,Hypertension
Influenza (Flu),Black Pepper Soup,"Black pepper, Cumin, Garlic, Water",Boil all ingredients and strain. Drink hot.,Can cause sweating,12+ years,None,Vegan,Migraine
Influenza (Flu),Tulsi Honey Mix,"Tulsi leaves, Honey",Crush tulsi leaves and mix with honey. Consume once daily.,Not for diabetics,5+ years,Tulsi allergy,Vegetarian,Hypothyroidism
Pneumonia,Garlic Milk,"Garlic cloves, Milk, Water",Boil crushed garlic in a mix of water and milk. Drink warm.,Mild digestive discomfort,12+ years,Lactose intolerance,Vegetarian,Hyperthyroidism
Pneumonia,Fenugreek Tea,"Fenugreek seeds, Honey, Lemon","Boil fenugreek seeds in water, strain, add lemon and honey.",Not suitable for pregnant women,18+ years,Fenugreek allergy,Vegetarian,Anemia
Pneumonia,Turmeric Paste,"Turmeric, Warm water, Black pepper",Make a paste of turmeric with warm water and black pepper. Consume twice daily.,Can cause heartburn,1+ years,None,Vegan,Heart Failure
Pneumonia,Holy Basil Steam,"Holy basil leaves, Water",Boil holy basil leaves and inhale the steam.,May cause nasal irritation,10+ years,Basil allergy,Vegan,Asthma
Pneumonia,Licorice Root Tea,"Licorice root, Water",Boil licorice root in water and drink once daily.,Avoid in high blood pressure,18+ years,Licorice allergy,Vegan,Allergic Rhinitis
